"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "YAML", "Markdown", "Batch", "PowerShell", "XML", "comment", "blank", "total"
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\.github\workflows\playwright.yml", "YAML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\acorn.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\acorn.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\ansi-html.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\ansi-html.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\autoprefixer.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\autoprefixer.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\browserslist.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\browserslist.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\color-support.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\color-support.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\css-blank-pseudo.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\css-blank-pseudo.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\css-has-pseudo.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\css-has-pseudo.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\css-prefers-color-scheme.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\css-prefers-color-scheme.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\cssesc.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\cssesc.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\detect-port.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\detect-port.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\detect.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\detect.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\ejs.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\ejs.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\escodegen.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\escodegen.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esgenerate.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esgenerate.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\eslint.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\eslint.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esparse.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esparse.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esvalidate.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esvalidate.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\he.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\he.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\html-minifier-terser.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\html-minifier-terser.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\import-local-fixture.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\import-local-fixture.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\is-docker.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\is-docker.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jake.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jake.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jest.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jest.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jiti.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jiti.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\js-yaml.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\js-yaml.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jsesc.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jsesc.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\json5.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\json5.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\loose-envify.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\loose-envify.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\lz-string.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\lz-string.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\mime.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\mime.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\mkdirp.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\mkdirp.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\multicast-dns.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\multicast-dns.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\nanoid.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\nanoid.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-gyp.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-gyp.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-sass.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-sass.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-which.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-which.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\nopt.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\nopt.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\parser.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\parser.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\react-scripts.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\react-scripts.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\regjsparser.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\regjsparser.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\resolve.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\resolve.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\rimraf.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
